staff_id,name,department,pay_period,hours_worked,gross_pay,tips,kpi_bonus,total_pay
S001,Olena A.,Nail Artists,1-15 May,72.48,1145.91,26.43,0,1172.34
S001,Olena A.,Nail Artists,16-31 May,76.34,1206.94,38.42,17.5,1262.86
S001,Olena A.,Nail Artists,1-15 Jun,40.32,637.46,5.1,56.0,698.56
S001,Olena A.,Nail Artists,16-30 Jun,59.47,940.22,59.86,0,1000.08
S002,Maria B.,Nail Artists,1-15 May,89.55,1454.29,18.92,0,1473.21
S002,Maria B.,Nail Artists,16-31 May,75.9,1232.62,1.79,39.0,1273.41
S002,Maria B.,Nail Artists,1-15 Jun,93.64,1520.71,24.02,0,1544.73
S002,Maria B.,Nail Artists,16-30 Jun,67.06,1089.05,57.48,56.0,1202.53
S003,Sofia C.,Nail Artists,1-15 May,40.04,708.71,12.58,0,721.29
S003,Sofia C.,Nail Artists,16-31 May,72.9,1290.33,58.82,17.5,1366.65
S003,Sofia C.,Nail Artists,1-15 Jun,69.39,1228.2,33.97,0,1262.17
S003,Sofia C.,Nail Artists,16-30 Jun,94.5,1672.65,16.19,0,1688.84
S004,Nadia D.,Nail Artists,1-15 May,61.78,979.83,0.91,17.5,998.24
S004,Nadia D.,Nail Artists,16-31 May,93.06,1475.93,7.08,0,1483.01
S004,Nadia D.,Nail Artists,1-15 Jun,89.49,1419.31,0.66,17.5,1437.47
S004,Nadia D.,Nail Artists,16-30 Jun,95.79,1519.23,10.66,39.0,1568.89
S005,Iryna E.,Nail Artists,1-15 May,53.19,852.64,30.53,56.0,939.17
S005,Iryna E.,Nail Artists,16-31 May,93.87,1504.74,25.15,17.5,1547.39
S005,Iryna E.,Nail Artists,1-15 Jun,48.16,772.0,25.25,0,797.25
S005,Iryna E.,Nail Artists,16-30 Jun,40.03,641.68,51.86,39.0,732.54
S006,Kateryna F.,Nail Artists,1-15 May,61.29,1002.09,53.09,0,1055.18
S006,Kateryna F.,Nail Artists,16-31 May,53.11,868.35,59.75,39.0,967.1
S006,Kateryna F.,Nail Artists,1-15 Jun,84.93,1388.61,6.02,0,1394.63
S006,Kateryna F.,Nail Artists,16-30 Jun,54.93,898.11,15.5,39.0,952.61
S007,Anna G.,Nail Artists,1-15 May,63.03,929.06,17.78,0,946.84
S007,Anna G.,Nail Artists,16-31 May,45.2,666.25,12.52,56.0,734.77
S007,Anna G.,Nail Artists,1-15 Jun,57.01,840.33,36.08,0,876.41
S007,Anna G.,Nail Artists,16-30 Jun,83.55,1231.53,7.63,39.0,1278.16
S008,Vika H.,Nail Artists,1-15 May,73.86,1185.45,34.47,17.5,1237.42
S008,Vika H.,Nail Artists,16-31 May,52.8,847.44,9.25,0,856.69
S008,Vika H.,Nail Artists,1-15 Jun,97.25,1560.86,14.97,0,1575.83
S008,Vika H.,Nail Artists,16-30 Jun,51.09,819.99,37.74,39.0,896.73
S009,Diana I.,Nail Artists,1-15 May,53.76,888.12,57.01,17.5,962.63
S009,Diana I.,Nail Artists,16-31 May,82.25,1358.77,25.29,0,1384.06
S009,Diana I.,Nail Artists,1-15 Jun,47.63,786.85,30.74,0,817.59
S009,Diana I.,Nail Artists,16-30 Jun,56.69,936.52,42.27,0,978.79
S010,Yana J.,Nail Artists,1-15 May,69.46,1192.63,54.29,17.5,1264.42
S010,Yana J.,Nail Artists,16-31 May,60.54,1039.47,10.53,56.0,1106.0
S010,Yana J.,Nail Artists,1-15 Jun,108.4,1861.23,7.58,17.5,1886.31
S010,Yana J.,Nail Artists,16-30 Jun,79.16,1359.18,51.14,39.0,1449.32
S011,Alina K.,Nail Artists,1-15 May,45.19,649.83,12.74,0,662.57
S011,Alina K.,Nail Artists,16-31 May,92.43,1329.14,4.15,17.5,1350.79
S011,Alina K.,Nail Artists,1-15 Jun,71.2,1023.86,3.63,0,1027.49
S011,Alina K.,Nail Artists,16-30 Jun,59.74,859.06,31.86,0,890.92
S012,Marta L.,Nail Artists,1-15 May,46.45,706.5,8.3,17.5,732.3
S012,Marta L.,Nail Artists,16-31 May,108.63,1652.26,39.42,56.0,1747.68
S012,Marta L.,Nail Artists,1-15 Jun,76.54,1164.17,56.81,39.0,1259.98
S012,Marta L.,Nail Artists,16-30 Jun,42.46,645.82,1.07,0,646.89
S013,Lesia M.,Nail Artists,1-15 May,89.07,1279.05,57.77,0,1336.82
S013,Lesia M.,Nail Artists,16-31 May,81.89,1175.94,4.49,0,1180.43
S013,Lesia M.,Nail Artists,1-15 Jun,91.13,1308.63,19.13,0,1327.76
S013,Lesia M.,Nail Artists,16-30 Jun,45.27,650.08,32.77,56.0,738.85
S014,Halyna N.,Nail Artists,1-15 May,43.11,743.22,56.17,56.0,855.39
S014,Halyna N.,Nail Artists,16-31 May,89.26,1538.84,47.6,0,1586.44
S014,Halyna N.,Nail Artists,1-15 Jun,64.63,1114.22,41.11,0,1155.33
S014,Halyna N.,Nail Artists,16-30 Jun,100.98,1740.9,25.03,0,1765.93
S015,Tetiana O.,Nail Artists,1-15 May,100.44,1684.38,34.37,39.0,1757.75
S015,Tetiana O.,Nail Artists,16-31 May,86.36,1448.26,22.75,0,1471.01
S015,Tetiana O.,Nail Artists,1-15 Jun,82.62,1385.54,4.81,56.0,1446.35
S015,Tetiana O.,Nail Artists,16-30 Jun,48.09,806.47,15.43,17.5,839.4
S016,Roksolana P.,Nail Artists,1-15 May,90.97,1289.04,23.31,56.0,1368.35
S016,Roksolana P.,Nail Artists,16-31 May,88.59,1255.32,27.47,17.5,1300.29
S016,Roksolana P.,Nail Artists,1-15 Jun,98.69,1398.44,5.03,39.0,1442.47
S016,Roksolana P.,Nail Artists,16-30 Jun,42.09,596.42,36.08,17.5,650.0
S017,Solomiia Q.,Nail Artists,1-15 May,41.56,745.17,57.44,0,802.61
S017,Solomiia Q.,Nail Artists,16-31 May,74.81,1341.34,36.87,17.5,1395.71
S017,Solomiia Q.,Nail Artists,1-15 Jun,57.91,1038.33,0.68,0,1039.01
S017,Solomiia Q.,Nail Artists,16-30 Jun,50.03,897.04,36.71,39.0,972.75
S018,Yaryna R.,Nail Artists,1-15 May,51.87,926.4,54.34,56.0,1036.74
S018,Yaryna R.,Nail Artists,16-31 May,105.12,1877.44,29.9,0,1907.34
S018,Yaryna R.,Nail Artists,1-15 Jun,62.89,1123.22,39.95,0,1163.17
S018,Yaryna R.,Nail Artists,16-30 Jun,84.39,1507.21,48.22,0,1555.43
S019,Bohdana S.,Nail Artists,1-15 May,101.62,1688.92,23.07,39.0,1750.99
S019,Bohdana S.,Nail Artists,16-31 May,104.46,1736.13,12.59,0,1748.72
S019,Bohdana S.,Nail Artists,1-15 Jun,74.75,1242.35,50.23,0,1292.58
S019,Bohdana S.,Nail Artists,16-30 Jun,89.79,1492.31,57.0,0,1549.31
S020,Zoriana T.,Nail Artists,1-15 May,97.53,1605.34,6.77,17.5,1629.61
S020,Zoriana T.,Nail Artists,16-31 May,59.26,975.42,12.84,17.5,1005.76
S020,Zoriana T.,Nail Artists,1-15 Jun,66.78,1099.2,31.2,56.0,1186.4
